Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Attrezzo sottogancio (qaundo non utilzzato) lasciato in posizione bassa ,Lifting tool (when not used) left in low position 
Doll System leggermente in disordine,Doll System slightly messed up
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Attrezzo sottogancio (qaundo non utilzzato) lasciato in posizione bassa ,Lifting tool (when not used) left in low position 
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Mancato utilizzo dello sgabello ergonomico (qaundo previsto),Non-use of the stool (when applicable)
Un operatore non indossa correttamente il berretto di protezione del capo ,An operator is not wearing proper head protection Cap 
Sollevatore elettrico depositato con staffe non abbassate,Electric linkage deposited with brackets not lowered
Doll System non depositata negli spazi delimitati ,Doll System not deposited in separated areas 
Scopa poggiata su SAG,Broom resting on SAG
Materiale depositato a terra a rischio inciampo,Material deposited on the ground at risk stumbling
Non utilizza occhiali con avvitatore,Does not use glasses with screwdriver
Canna aria non riavvolta quando non utilizzata,Barrel air not rewound when not in use
Impianto elettrico a terra a rischio inciampo,Electrical system ashore at risk stumbling
Guanti depositati su telaio,Gloves deposited on trays
Scopa poggiata a muro anzichè apposito trespolo,Broom rests in the wall instead of proper perch
Bussola depositata su telaio quando non in uso,Compass settled out of the frame when not in use
Magnete sollevamento longheroni lasciato agganciato a carroponte a rischio urto,Lifting magnet spars left hooked bridge crash risk
"L'operatore lascia, durante le attività di montaggio, gli attrezzi appoggiati sul telaio con rischio caduta oggetti (pinza - cacciaviti - tronchese ecc....)","The operator leaves, during the Assembly activities, gears leaned on the frame with risk falling objects (tongs-screwdrivers-wire cutter etc.)"
Tubazione aria compressa lasciata a a terra,Compressed air hose left on the ground
Doll System leggermente in disordine,Doll System slightly messed up
Un operatore non indossa correttamente il berretto di protezione del capo ,An operator is not wearing proper head protection Cap 
Mancato utilizzo dello sgabello ergonomico (qaundo previsto),Non-use of the stool (when applicable)
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Operatore non utilizza occhiali protettivi quando avvita,Operator does not use glasses when screwing
L'operatore indossa occhiali da vista non protettivi,The operator wears no protective eyeglasses
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Attrezzo sottogancio (qaundo non utilzzato) lasciato in posizione bassa ,Lifting tool (when not used) left in low position 
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Doll System leggermente in disordine,Doll System slightly messed up
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Canna dell'aria lasciata a terra quando non utilizzata,Air barrel left on the ground when not in use
Non utilizza occhiali protettivi quando usa avvitatore,Does not use safety goggles when using impact wrench
Postazione di lavoro poco ordinata,Neat little workstation
Rivestimento cabina depositato su bidoni rifiuti,Covering the cabin placed in waste bins
Canna dell'aria a terra quando non utilizzata,Air to ground rod when not in use
Pedaliera depositata a terra prima del montaggio,Pedal Board settled to the ground before installation
Palanchino lasciatoa a terra a rischio inciampo,Palanquin left on the ground at risk stumbling
Bancale trasmissioni depositato su passaggio pedonale,Pallet transmissions deposited on walkway
Operatore non indossa berretto protettivo quando lavora interno telaio,Operator not wearing protective cap when working inside the frame
Postazione di lavoro poco ordinata,Neat little workstation
Operatore non usa occhiali quando utilizza avvitatore,Operator does not use glasses when using impact wrench
Chiavi e punte avvitatore lasciate su scala a rischio inciampo,Keys and screwdriver tips left on the scale at risk stumbling
Pulizia migliorabile sotto cabina,Cleanliness could be improved under cab
Non indossa occhiali protettivi quando usa avvitatore,Not wearing glasses when using impact wrench
Non indossa occhiali protettivi quando usa avvitatore,Not wearing glasses when using impact wrench
Contenitore sostegno part. 421 non ordinato,Container support part. unordered 421
Postazione di lavoro in disordine,Workplace in disarray
L'operatore non conosce bene i DPI e le varie condizioni di utilizzo (guanti e maschera),The operator is not familiar with the DPI and the various conditions (gloves and masks)
Manca formazione DPI di postazione,Missing training DPI of computer station
Banco di lavoro in disordine,Messy work bench
Tubazione aria compressa non in uso e non riavvolta,Compressed air tubing not in use and not rewound
Operatore non individua subito scheda DPI,Operator does not locate for DPI tab
Tubazione aria compressa non  riavvolta quando non utilizzata,Compressed air tubing not rewound when not in use
Operatore non conosce utilizzo VISUAL VERDE/ROSSO di postaione,Operator does not know use VISUAL green/red by postaione
L'operatore non conosce e non sa dove si trova la scheda DPI,The operator does not know and does not know where is the card DPI
L'operatore Beoni Nicola non conosce e non sa dove si trova la scheda DPI,The operator Bahr Nicholas doesn't know and doesn't know where is the card DPI
Materiale a bordo linea disordinato,Material on board line messy
L'operatore esegue oparazioni in anticipo sul ciclo di lavoro,The operator oparazioni ahead of business cycle
Manca formazione DPI di postazione,Missing training DPI of computer station
Banco da lavoro in disordine ,Cluttered Workbench 
Banco di lavoro disordinato,Messy work bench
Tubazioni aria inutilizzate non riavvolte,Unused air piping not rewound
Doll System leggermente in disordine,Doll System slightly messed up
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
